               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088727,            0.045799,            0.031917,             0.36627,             0.50103,             0.38897,             0.19696,            0.074551,            0.026587,            0.015447,              0.0937,              0.0007,              0.0007
                   1,            0.074136,            0.055347,            0.035986,             0.52665,             0.49417,             0.50925,             0.30323,            0.062941,            0.026545,            0.014356,             0.08647,           0.0014703,           0.0014703
                   2,            0.068249,            0.056902,             0.03005,             0.62451,             0.48686,             0.54947,             0.33794,            0.060398,            0.027058,            0.013756,            0.079209,           0.0022089,           0.0022089
                   3,            0.064895,             0.04767,            0.029029,              0.5968,             0.54996,             0.58337,             0.35942,            0.059243,            0.028111,            0.013472,            0.071916,           0.0029159,           0.0029159
                   4,            0.061572,            0.047359,            0.027011,             0.62418,             0.55273,             0.60018,             0.35669,            0.058582,            0.029176,            0.013305,            0.064591,           0.0035911,           0.0035911
                   5,            0.060566,            0.042947,            0.026172,             0.66837,             0.55486,             0.62195,             0.36832,            0.056922,            0.028273,            0.012646,            0.057235,           0.0042347,           0.0042347
                   6,            0.059715,            0.044654,            0.021439,               0.645,             0.56857,             0.62224,             0.32706,            0.060228,            0.026679,            0.011929,            0.049847,           0.0048466,           0.0048466
                   7,            0.061911,            0.044123,            0.023976,             0.61431,             0.60229,             0.63974,             0.34893,            0.057282,             0.02452,            0.011119,            0.042427,           0.0054268,           0.0054268
                   8,            0.060744,            0.044724,            0.022811,             0.65908,              0.5982,             0.65367,             0.36829,             0.05661,            0.023641,            0.010498,            0.034975,           0.0059754,           0.0059754
                   9,            0.061968,            0.047977,            0.019966,             0.67832,             0.59203,             0.64609,             0.38388,            0.055273,            0.023168,            0.010255,            0.027492,           0.0064922,           0.0064922
                  10,            0.061732,            0.046875,            0.019841,             0.72709,             0.62027,             0.67385,             0.38409,            0.054892,            0.022671,           0.0098648,            0.019977,           0.0069774,           0.0069774
                  11,            0.058929,            0.040198,            0.018344,              0.7541,             0.60262,             0.66479,             0.38802,            0.054899,            0.022129,           0.0094957,            0.012431,           0.0074309,           0.0074309
                  12,             0.05982,            0.038846,            0.018547,             0.68009,             0.61074,             0.67373,             0.38027,            0.055606,            0.021759,           0.0088813,            0.007624,            0.007624,            0.007624
                  13,               0.059,            0.040372,            0.017356,             0.71025,             0.61773,             0.68144,             0.39529,            0.054383,            0.021588,           0.0087211,            0.007624,            0.007624,            0.007624
                  14,             0.05991,            0.037642,            0.019472,             0.76666,             0.57881,             0.68395,             0.39762,            0.054511,            0.021333,           0.0084834,            0.007426,            0.007426,            0.007426
                  15,             0.06124,            0.039629,             0.01692,             0.79459,             0.58816,             0.69486,             0.41431,            0.054656,            0.021018,            0.008323,            0.007228,            0.007228,            0.007228
                  16,            0.058629,            0.040049,             0.01575,             0.76132,             0.62623,             0.70229,             0.41952,            0.052696,             0.02086,             0.00806,             0.00703,             0.00703,             0.00703
                  17,            0.055976,             0.03965,            0.015065,             0.73874,             0.64378,             0.71188,               0.414,            0.053988,            0.020999,            0.007931,            0.006832,            0.006832,            0.006832
                  18,            0.054447,            0.038244,            0.015855,             0.77266,             0.64369,             0.74133,             0.44924,            0.051779,            0.020625,           0.0078392,            0.006634,            0.006634,            0.006634
                  19,            0.055588,            0.037597,            0.015819,             0.78453,             0.66419,             0.74225,             0.42876,            0.052417,            0.020164,           0.0074492,            0.006436,            0.006436,            0.006436
                  20,            0.055007,            0.036071,            0.015014,             0.75723,             0.69079,             0.75485,              0.4822,            0.050057,            0.019732,           0.0072556,            0.006238,            0.006238,            0.006238
                  21,              0.0546,            0.036898,            0.014198,             0.79627,             0.66736,             0.74967,             0.46285,            0.051478,            0.019559,           0.0070465,             0.00604,             0.00604,             0.00604
                  22,            0.056964,            0.039597,            0.016103,             0.72843,              0.7176,             0.75985,             0.48078,            0.049355,            0.019506,           0.0068791,            0.005842,            0.005842,            0.005842
                  23,            0.051303,            0.035235,            0.014767,             0.69978,             0.72929,             0.76282,             0.47072,            0.049591,            0.019636,            0.006813,            0.005644,            0.005644,            0.005644
                  24,             0.05494,             0.03794,            0.013301,             0.77414,             0.71246,             0.77229,             0.46202,            0.050234,            0.019738,           0.0067739,            0.005446,            0.005446,            0.005446
                  25,            0.054913,            0.038414,            0.013711,             0.76406,             0.70752,             0.76939,             0.45118,             0.05057,            0.019624,           0.0067232,            0.005248,            0.005248,            0.005248
                  26,            0.055224,            0.035998,            0.013783,             0.77365,             0.70897,             0.77494,             0.48374,            0.049032,            0.019517,           0.0067675,             0.00505,             0.00505,             0.00505
                  27,            0.054028,            0.037343,             0.01361,             0.78631,             0.70996,             0.77008,             0.47355,            0.048977,            0.019511,           0.0067327,            0.004852,            0.004852,            0.004852
                  28,            0.051833,            0.035176,            0.013999,             0.81745,             0.71272,             0.78612,             0.51105,            0.046914,            0.018961,           0.0066226,            0.004654,            0.004654,            0.004654
                  29,            0.049804,            0.037877,            0.012427,             0.83894,             0.70953,             0.78952,             0.52668,             0.04614,            0.018593,           0.0064163,            0.004456,            0.004456,            0.004456
                  30,            0.051694,            0.034825,            0.013587,             0.79174,              0.7311,             0.79135,             0.51186,            0.045787,            0.018408,           0.0062933,            0.004258,            0.004258,            0.004258
                  31,            0.053276,            0.035685,             0.01251,             0.76292,             0.74576,             0.79004,             0.49405,            0.046859,            0.018317,           0.0061145,             0.00406,             0.00406,             0.00406
                  32,             0.05173,            0.033052,            0.012544,              0.7424,             0.74386,             0.78957,              0.4986,            0.046653,            0.018293,            0.006052,            0.003862,            0.003862,            0.003862
                  33,            0.051964,             0.03321,            0.012962,              0.7492,             0.74181,             0.79916,             0.50402,            0.046468,            0.018252,           0.0059583,            0.003664,            0.003664,            0.003664
                  34,            0.050869,            0.033966,            0.011948,             0.84527,             0.70024,             0.80351,             0.52167,            0.046064,            0.018334,           0.0059319,            0.003466,            0.003466,            0.003466
                  35,            0.048823,            0.034692,            0.012681,               0.812,             0.74788,             0.81539,             0.53274,            0.044996,            0.018135,           0.0059135,            0.003268,            0.003268,            0.003268
                  36,            0.050055,            0.034722,            0.012309,             0.86067,               0.718,             0.80742,             0.54071,            0.044643,            0.018023,           0.0058904,             0.00307,             0.00307,             0.00307
                  37,            0.049224,            0.033862,            0.011917,              0.8724,             0.71935,             0.81306,             0.54231,            0.044343,            0.017819,           0.0058389,            0.002872,            0.002872,            0.002872
                  38,            0.049786,            0.033199,             0.01171,               0.788,             0.76047,             0.81677,             0.54102,            0.044539,            0.017794,           0.0057917,            0.002674,            0.002674,            0.002674
                  39,            0.046616,            0.031604,            0.010454,             0.87342,             0.70527,             0.80699,             0.54023,            0.044004,            0.017783,            0.005738,            0.002476,            0.002476,            0.002476
                  40,            0.048413,            0.034213,            0.011582,               0.871,               0.707,             0.80621,             0.54314,            0.043703,            0.017651,           0.0056615,            0.002278,            0.002278,            0.002278
                  41,            0.048397,            0.034852,            0.011019,              0.7745,             0.77503,             0.80927,             0.55252,            0.043298,            0.017579,           0.0055897,             0.00208,             0.00208,             0.00208
                  42,            0.048195,            0.033832,            0.010414,             0.87293,             0.70232,             0.79906,             0.55016,            0.043263,            0.017582,           0.0055468,            0.001882,            0.001882,            0.001882
                  43,            0.049241,            0.036832,            0.011203,              0.8095,             0.74492,             0.80149,             0.55691,            0.043145,            0.017561,           0.0054944,            0.001684,            0.001684,            0.001684
                  44,            0.047497,            0.035422,            0.010541,             0.81355,             0.74576,              0.8006,             0.55875,             0.04267,            0.017487,           0.0054548,            0.001486,            0.001486,            0.001486
                  45,            0.047557,             0.03265,            0.010407,             0.80095,             0.75483,             0.80196,             0.55378,            0.042461,            0.017371,           0.0053947,            0.001288,            0.001288,            0.001288
                  46,            0.046659,            0.034528,            0.010405,              0.7899,             0.76479,             0.80598,             0.56182,            0.042196,            0.017307,           0.0053614,             0.00109,             0.00109,             0.00109
                  47,            0.048519,            0.031693,            0.011057,             0.83287,             0.74377,             0.80218,             0.56341,            0.041998,            0.017251,           0.0053313,            0.000892,            0.000892,            0.000892
                  48,             0.04544,            0.032155,            0.010369,             0.83018,              0.7484,             0.80515,             0.56733,            0.041842,              0.0172,           0.0052993,            0.000694,            0.000694,            0.000694
                  49,            0.045336,            0.031266,             0.01068,             0.86265,             0.74328,             0.80689,              0.5686,             0.04178,            0.017191,           0.0052956,            0.000496,            0.000496,            0.000496
